2022/01/01;08:11:00;20.391.194-7
2022/01/01;18:00:00;20.391.194-7
2022/01/01;08:26:00;20.459.126-5
2022/01/01;20:00:00;20.459.126-5
2022/01/01;08:46:00;20.746.215-3
2022/01/01;21:00:00;20.746.215-3
2022/01/02;08:50:00;20.391.194-7
2022/01/02;18:00:00;20.391.194-7
2022/01/02;08:15:00;20.459.126-5
2022/01/02;19:00:00;20.459.126-5
2022/01/02;08:30:00;20.746.215-3
2022/01/02;20:00:00;20.746.215-3
2022/01/03;08:50:00;20.391.194-7
2022/01/03;18:00:00;20.391.194-7
2022/01/03;08:15:00;20.459.126-5
2022/01/03;18:00:00;20.459.126-5
2022/01/03;08:30:00;20.746.215-3
2022/01/03;18:00:00;20.746.215-3
2022/01/04;09:15:00;20.391.194-7
2022/01/04;18:00:00;20.391.194-7
2022/01/04;09:20:00;20.459.126-5
2022/01/04;18:00:00;20.459.126-5
2022/01/04;10:00:00;20.746.215-3
2022/01/04;18:00:00;20.746.215-3
2022/01/05;09:15:00;20.391.194-7
2022/01/05;18:00:00;20.391.194-7
2022/01/05;09:20:00;20.459.126-5
2022/01/05;18:00:00;20.459.126-5
2022/01/05;10:00:00;20.746.215-3
2022/01/05;18:00:00;20.746.215-3
